"id"	"hs96"	"name"
"02060240"	"060240"	"Live Plants, N.E.S. (Including Their Roots), Cuttings And Slips; Mushroom Spawn"
"02060290"	"060290"	"Live Plants, N.E.S. (Including Their Roots), Cuttings And Slips; Mushroom Spawn"
"020603"	"0603"	"Cut flowers, dried flowers for bouquets, etc,"
"02060310"	"060310"	"Cut Flowers And Flower Buds Suitable For Bouquets Or Ornamental Use, Fresh, Dried, Dyed, Bleached, Impregnated Or Otherwise Prepared"
"02060390"	"060390"	"Cut Flowers And Flower Buds Suitable For Bouquets Or Ornamental Use, Fresh, Dried, Dyed, Bleached, Impregnated Or Otherwise Prepared"
"020604"	"0604"	"Foliage etc except flowers for ornamental purposes"
"02060410"	"060410"	"Foliage And Other Parts Of Plants (Without Flowers Or Flower Buds), Grasses, Mosses, Etc. For Bouquets Or Ornamental Use, Fresh, Dried, Dyed, Etc."
"02060491"	"060491"	"Foliage And Other Parts Of Plants (Without Flowers Or Flower Buds), Grasses, Mosses, Etc. For Bouquets Or Ornamental Use, Fresh, Dried, Dyed, Etc."
"02060499"	"060499"	"Foliage And Other Parts Of Plants (Without Flowers Or Flower Buds), Grasses, Mosses, Etc. For Bouquets Or Ornamental Use, Fresh, Dried, Dyed, Etc."
"020701"	"0701"	"Potatoes, fresh or chilled"
"02070110"	"070110"	"Potatoes, Fresh Or Chilled (Not Including Sweet Potatoes)"
"02070190"	"070190"	"Potatoes, Fresh Or Chilled (Not Including Sweet Potatoes)"
"020702"	"0702"	"Tomatoes, fresh or chilled"
"02070200"	"070200"	"Tomatoes, Fresh Or Chilled"
"020703"	"0703"	"Onions, shallots, garlic, leeks, etc. fresh or chilled"
"02070310"	"070310"	"Onions And Shallots, Fresh Or Chilled"
"02070320"	"070320"	"Garlic, Leeks And Other Alliaceous Vegetables, Fresh Or Chilled"
"02070390"	"070390"	"Garlic, Leeks And Other Alliaceous Vegetables, Fresh Or Chilled"
"020704"	"0704"	"Cabbage, cauliflower, kohlrabi & kale, fresh, chilled"
"02070410"	"070410"	"Cabbage And Similar Edible Brassicas, Fresh Or Chilled"
"02070420"	"070420"	"Cabbage And Similar Edible Brassicas, Fresh Or Chilled"
"02070490"	"070490"	"Cabbage And Similar Edible Brassicas, Fresh Or Chilled"
"020705"	"0705"	"Lettuce and chicory, fresh or chilled"
"02070511"	"070511"	"Lettuce And Chicory (Including Endive), Fresh Or Chilled"
"02070519"	"070519"	"Lettuce And Chicory (Including Endive), Fresh Or Chilled"
"02070521"	"070521"	"Lettuce And Chicory (Including Endive), Fresh Or Chilled"
"02070529"	"070529"	"Lettuce And Chicory (Including Endive), Fresh Or Chilled"
"020706"	"0706"	"Carrots, turnips, beetroot, etc. fresh or chilled"
"02070610"	"070610"	"Carrots, Turnips, Salad Beetroot, Salsify, Celeriac, Radishes And Similar Edible Roots, Fresh Or Chilled"
"02070690"	"070690"	"Carrots, Turnips, Salad Beetroot, Salsify, Celeriac, Radishes And Similar Edible Roots, Fresh Or Chilled"
"020707"	"0707"	"Cucumbers and gherkins, fresh or chilled"
"02070700"	"070700"	"Cucumbers And Gherkins, Fresh Or Chilled"
"020708"	"0708"	"Leguminous vegetables, fresh or chilled"
"02070810"	"070810"	"Leguminous Vegetables, Fresh Or Chilled"
"02070820"	"070820"	"Leguminous Vegetables, Fresh Or Chilled"
"02070890"	"070890"	"Leguminous Vegetables, Fresh Or Chilled"
"020709"	"0709"	"Vegetables nes, fresh or chilled"
"02070910"	"070910"	"Vegetables, N.E.S. Fresh Or Chilled"
"02070920"	"070920"	"Vegetables, N.E.S. Fresh Or Chilled"
"02070930"	"070930"	"Vegetables, N.E.S. Fresh Or Chilled"
"02070940"	"070940"	"Vegetables, N.E.S. Fresh Or Chilled"
"02070951"	"070951"	"Mushrooms And Truffles, Fresh Or Chilled"
"02070952"	"070952"	"Mushrooms And Truffles, Fresh Or Chilled"
"02070960"	"070960"	"Vegetables, N.E.S. Fresh Or Chilled"
"02070970"	"070970"	"Vegetables, N.E.S. Fresh Or Chilled"
"02070990"	"070990"	"Vegetables, N.E.S. Fresh Or Chilled"
"020710"	"0710"	"Vegetables (uncooked, steamed, boiled) frozen"
"02071010"	"071010"	"Vegetables N.E.S. And Mixtures Of Vegetables (Uncooked Or Cooked By Steaming Or Boiling In Water), Frozen"
"02071021"	"071021"	"Vegetables N.E.S. And Mixtures Of Vegetables (Uncooked Or Cooked By Steaming Or Boiling In Water), Frozen"
"02071022"	"071022"	"Vegetables N.E.S. And Mixtures Of Vegetables (Uncooked Or Cooked By Steaming Or Boiling In Water), Frozen"
"02071029"	"071029"	"Vegetables N.E.S. And Mixtures Of Vegetables (Uncooked Or Cooked By Steaming Or Boiling In Water), Frozen"
"02071030"	"071030"	"Vegetables N.E.S. And Mixtures Of Vegetables (Uncooked Or Cooked By Steaming Or Boiling In Water), Frozen"
"02071040"	"071040"	"Sweet Corn (Uncooked Or Cooked By Steaming Or Boiling In Water), Frozen"
"02071080"	"071080"	"Vegetables N.E.S. And Mixtures Of Vegetables (Uncooked Or Cooked By Steaming Or Boiling In Water), Frozen"
"02071090"	"071090"	"Vegetables N.E.S. And Mixtures Of Vegetables (Uncooked Or Cooked By Steaming Or Boiling In Water), Frozen"
"020711"	"0711"	"Vegetables provisionally preserved, not ready to eat"
"02071110"	"071110"	"Vegetables Provisionally Preserved (E.G., By Sulphur Dioxide Gas, In Brine, In Sulphur Water Or Other Preservative Solutions), Inedible In That Stat"
"02071120"	"071120"	"Vegetables Provisionally Preserved (E.G., By Sulphur Dioxide Gas, In Brine, In Sulphur Water Or Other Preservative Solutions), Inedible In That Stat"
"02071130"	"071130"	"Vegetables Provisionally Preserved (E.G., By Sulphur Dioxide Gas, In Brine, In Sulphur Water Or Other Preservative Solutions), Inedible In That Stat"
"02071140"	"071140"	"Vegetables Provisionally Preserved (E.G., By Sulphur Dioxide Gas, In Brine, In Sulphur Water Or Other Preservative Solutions), Inedible In That Stat"
"02071190"	"071190"	"Vegetables Provisionally Preserved (E.G., By Sulphur Dioxide Gas, In Brine, In Sulphur Water Or Other Preservative Solutions), Inedible In That Stat"
"020712"	"0712"	"Vegetables, dried, not further prepared"
"02071220"	"071220"	"Onions, Dried"
"02071230"	"071230"	"Mushrooms And Truffles, Dried"
"02071290"	"071290"	"Vegetables N.E.S., Dried, And Mixtures Of Vegetables, Dried (Whole, Cut, Sliced, Etc.), But Not Further Prepared"
"020713"	"0713"	"Vegetables, leguminous dried, shelled"
"02071310"	"071310"	"Peas, Dried, Shelled"
"02071320"	"071320"	"Chickpeas, Dried, Shelled"
